Set Threshold R2 P Coefficient Standard.Error Num_SNP se SE
fastGWA 0.001 0.0803117 0 2810.92 16.2303 4916 0.00177875681345386 0.00177875681345386
fastGWA 0.05 0.0743189 0 13322.6 80.2263 49884 0.00172225533516599 0.00172225533516599
fastGWA 0.1 0.0706887 0 17892.3 110.693 79364 0.00168625294452168 0.00168625294452168
fastGWA 0.2 0.0669846 0 24466 155.799 126473 0.00164802122943471 0.00164802122943471
fastGWA 0.3 0.0650818 0 29627.5 191.601 164466 0.00162775822249814 0.00162775822249814
fastGWA 0.4 0.0642537 0 34177.7 222.546 196767 0.00161880186027229 0.00161880186027229
fastGWA 0.5 0.0636456 0 38155 249.709 224415 0.00161217043951179 0.00161217043951179
fastGWA 1 0.0632566 0 51671.4 339.276 309384 0.0016079038314107 0.0016079038314107
fastGWA-PGS 0.001 0.0831486 0 3283.46 18.6037 5291 0.00180431736445268 0.00180431736445268
fastGWA-PGS 0.05 0.0791532 0 15520.5 90.3257 50279 0.00176810530597823 0.00176810530597823
fastGWA-PGS 0.1 0.076162 0 21027.3 124.956 79787 0.0017400090120302 0.0017400090120302
fastGWA-PGS 0.2 0.0720547 0 28710 175.796 126457 0.00169996523202905 0.00169996523202905
fastGWA-PGS 0.3 0.0700278 0 34824.8 216.538 164478 0.00167954526618252 0.00167954526618252
fastGWA-PGS 0.4 0.0689634 0 40185 251.932 196888 0.00166863977614724 0.00166863977614724
fastGWA-PGS 0.5 0.0684665 0 44913.4 282.671 224342 0.00166350475648061 0.00166350475648061
fastGWA-PGS 1 0.0678669 0 60762 384.227 309323 0.00165727065972366 0.00165727065972366
